case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
107218,112.02862499999999,11.0,8.0,4.375,4.0,3.0,1.0
44783,65.1748,8.0,5.0,4.6,5.0,4.0,1.0
50490,87.620168,10.0,10.0,5.4,5.0,3.0,1.0
56599,125.79486700000001,14.0,18.0,5.166666666666667,5.0,5.0,3.0
55584,96.122832,8.0,5.0,5.2,5.0,5.0,1.0
42494,81.863693,8.0,8.0,4.75,5.0,3.0,2.0
65667,65.510288,8.0,4.0,5.0,5.0,5.0,2.0
48153,51.441638,5.0,1.0,3.0,3.0,3.0,1.0
41510,136.847058,8.0,1.0,5.0,5.0,5.0,1.0
140681,76.965711,9.0,4.0,4.75,5.0,4.0,1.0
22887,108.899993,10.0,9.0,6.0,6.0,5.0,1.0
108200,73.066664,9.0,2.0,4.5,4.0,4.0,2.0
100270,87.19555,9.0,4.0,5.5,6.0,5.0,1.0
18138,66.807345,7.0,8.0,5.25,5.0,5.0,2.0
99612,85.067207,10.0,13.0,5.384615384615385,6.0,4.0,2.0
14096,103.548002,10.0,10.0,5.7,5.0,5.0,1.0
13298,52.714189,5.0,4.0,4.0,4.0,3.0,1.0
30153,91.152337,8.0,6.0,5.333333333333333,5.0,5.0,1.0
12633,88.186903,7.0,21.0,5.380952380952381,6.0,3.0,2.0
10781,127.74245100000003,11.0,2.0,4.0,4.0,4.0,1.0
42897,121.02281099999999,12.0,8.0,4.25,4.0,3.0,2.0
108147,96.783476,10.0,15.0,4.933333333333334,5.0,3.0,3.0
69594,95.81851700000001,7.0,3.0,5.666666666666667,4.0,4.0,1.0
23935,105.04524899999998,9.0,14.0,4.785714285714286,5.0,4.0,2.0
16735,92.340982,10.0,2.0,5.0,5.0,5.0,1.0
59617,40.56705899999999,5.0,3.0,4.0,3.0,3.0,3.0
94759,79.443902,8.0,6.0,5.0,4.0,4.0,1.0
130508,96.912644,11.0,4.0,5.75,5.0,5.0,1.0
42540,75.916686,9.0,4.0,5.75,7.0,4.0,1.0
40039,74.912739,6.0,4.0,3.75,4.0,3.0,1.0
108308,76.116072,12.0,2.0,5.0,5.0,5.0,1.0
51355,44.461912000000005,9.0,4.0,5.0,5.0,5.0,2.0
22721,106.989259,8.0,4.0,5.25,5.0,5.0,1.0
19729,156.65894600000001,15.0,15.0,6.466666666666667,7.0,5.0,1.0
43854,103.696693,9.0,6.0,5.5,5.0,5.0,1.0
10868,93.720613,9.0,22.0,5.136363636363637,5.0,3.0,2.0
9426,117.94088400000001,12.0,4.0,5.25,5.0,5.0,1.0
32406,46.73807399999998,5.0,3.0,4.666666666666667,5.0,4.0,1.0
95377,71.381005,12.0,4.0,5.25,5.0,5.0,1.0
33325,69.91843200000001,6.0,4.0,4.75,5.0,4.0,1.0
13073,105.03559099999998,8.0,20.0,4.8,5.0,3.0,4.0
30991,95.158914,9.0,2.0,5.0,5.0,5.0,2.0
106780,84.29842000000001,11.0,4.0,5.75,6.0,5.0,1.0
16992,72.930198,8.0,2.0,5.0,5.0,5.0,2.0
27169,103.81102299999999,10.0,4.0,5.0,5.0,4.0,2.0
70592,90.070757,7.0,4.0,3.75,3.0,3.0,1.0
15984,76.664482,8.0,5.0,5.0,5.0,4.0,1.0
69565,97.50803699999999,8.0,0.0,0.0,0.0,0.0,2.0
135463,79.233221,8.0,4.0,5.25,5.0,5.0,1.0
95411,92.119432,9.0,3.0,5.0,5.0,5.0,1.0
8624,101.36498699999999,8.0,3.0,5.0,5.0,5.0,1.0
